HEADER_TIME_STAMP,X_ACCELERATION_METERS_PER_SECOND_SQUARED,Y_ACCELERATION_METERS_PER_SECOND_SQUARED,Z_ACCELERATION_METERS_PER_SECOND_SQUARED
2014-12-12 11:57:00.000,-0.213,-0.201,-1.217
2014-12-12 11:57:00.034,0.025,0.004,-1.03
2014-12-12 11:57:00.067,0.025,0.013,-1.026
2014-12-12 11:57:00.100,0.025,0.013,-1.026
2014-12-12 11:57:00.134,0.025,0.013,-1.026
2014-12-12 11:57:00.167,0.025,0.013,-1.026
2014-12-12 11:57:00.200,0.025,0.013,-1.026
2014-12-12 11:57:00.234,0.025,0.013,-1.026
2014-12-12 11:57:00.267,0.025,0.013,-1.026
2014-12-12 11:57:00.300,0.025,0.013,-1.026
2014-12-12 11:57:00.334,0.025,0.013,-1.026
2014-12-12 11:57:00.367,0.025,0.013,-1.026
2014-12-12 11:57:00.400,0.025,0.013,-1.026
2014-12-12 11:57:00.434,0.025,0.013,-1.026
2014-12-12 11:57:00.467,0.025,0.013,-1.026
2014-12-12 11:57:00.500,0.025,0.013,-1.022
2014-12-12 11:57:00.534,0.025,0.013,-1.026
2014-12-12 11:57:00.567,0.025,0.013,-1.026
2014-12-12 11:57:00.600,0.025,0.013,-1.026
2014-12-12 11:57:00.634,0.025,0.013,-1.022
2014-12-12 11:57:00.667,0.025,0.013,-1.026
2014-12-12 11:57:00.700,0.025,0.013,-1.026
2014-12-12 11:57:00.734,0.025,0.013,-1.026
2014-12-12 11:57:00.767,0.025,0.013,-1.026
2014-12-12 11:57:00.800,0.025,0.013,-1.026
2014-12-12 11:57:00.834,0.025,0.013,-1.026
2014-12-12 11:57:00.867,0.033,0.013,-1.026
2014-12-12 11:57:00.900,0.025,0.013,-1.026
2014-12-12 11:57:00.934,0.033,0.013,-1.026
2014-12-12 11:57:00.967,0.025,0.013,-1.022
2014-12-12 11:57:01.000,0.025,0.013,-1.022
2014-12-12 11:57:01.034,0.025,0.013,-1.026
2014-12-12 11:57:01.067,0.025,0.013,-1.026
2014-12-12 11:57:01.100,0.025,0.013,-1.026
2014-12-12 11:57:01.134,0.025,0.013,-1.026
2014-12-12 11:57:01.167,0.025,0.013,-1.026
2014-12-12 11:57:01.200,0.025,0.013,-1.026
2014-12-12 11:57:01.234,0.025,0.013,-1.026
2014-12-12 11:57:01.267,0.025,0.013,-1.026
2014-12-12 11:57:01.300,0.025,0.013,-1.022
2014-12-12 11:57:01.334,0.025,0.013,-1.026
2014-12-12 11:57:01.367,0.033,0.013,-1.026
2014-12-12 11:57:01.400,0.025,0.013,-1.026
2014-12-12 11:57:01.434,0.025,0.013,-1.026
2014-12-12 11:57:01.467,0.025,0.013,-1.026
2014-12-12 11:57:01.500,0.025,0.013,-1.026
2014-12-12 11:57:01.534,0.025,0.013,-1.022
2014-12-12 11:57:01.567,0.025,0.013,-1.026
2014-12-12 11:57:01.600,0.025,0.013,-1.026
2014-12-12 11:57:01.634,0.033,0.013,-1.026
2014-12-12 11:57:01.667,0.025,0.013,-1.013
2014-12-12 11:57:01.700,0.025,0.013,-1.022
2014-12-12 11:57:01.734,0.025,0.013,-1.026
